racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
6,6,That's it,Claes Svensson,Claes Svensson,11,705800,1,25.0,3,40.0,1,60.0,4,100.0,1,50.0,99,163.0,124.0,0.04,0.075,0.016666666666666666,0.04,0.02
6,7,Tyson Dimanche,Giuseppe Lubrano,Magnus Dahlén,2,820900,1,10.0,9,30.0,9,40.0,3,10.0,2,10.0,99,129.0,170.0,0.1,0.3,0.225,0.3,0.2
6,8,Lucifer Boko,Carl Johan Jepson,Jerry Riordan,4,888406,1,40.0,6,110.0,4,110.0,4,30.0,3,110.0,99,2.0,128.0,0.025,0.05454545454545454,0.03636363636363636,0.13333333333333333,0.02727272727272727
6,9,Judge D.,Stefan Persson,Ola Samuelsson,14,707000,3,110.0,1,100.0,1,40.0,3,40.0,3,200.0,99,0.0,45.0,0.02727272727272727,0.01,0.025,0.075,0.015
6,10,Black Fire,Gustav Johansson,Gustav Johansson,5,751401,3,60.0,2,110.0,2,100.0,1,40.0,2,40.0,99,8.0,568.0,0.05,0.01818181818181818,0.02,0.025,0.05
6,11,Beachcomber,Joakim Lövgren,Joakim Lövgren,5,644873,1,40.0,7,60.0,2,60.0,1,30.0,2,25.0,99,11.0,10.0,0.025,0.11666666666666667,0.03333333333333333,0.03333333333333333,0.08
6,12,Moses Boko,Rick Ebbinge,Rick Ebbinge,14,729237,3,220.0,1,60.0,1,60.0,2,110.0,7,60.0,99,9.0,8.0,0.013636363636363636,0.016666666666666666,0.016666666666666666,0.01818181818181818,0.11666666666666667
7,1,Utah Southwind,Magnus A Djuse,Ulf Stenströmer,21,499697,3,110.0,1,110.0,1,100.0,5,100.0,7,30.0,99,5.0,113.0,0.02727272727272727,0.00909090909090909,0.01,0.05,0.23333333333333334
7,2,Gasparito,Mikko Aho,Mikko Aho,3,430585,5,110.0,1,40.0,6,110.0,3,110.0,2,60.0,99,242.0,135.0,0.045454545454545456,0.025,0.05454545454545454,0.02727272727272727,0.03333333333333333
7,3,Brain Game,Stefan Persson,Magnus R Johansson,3,369400,1,60.0,9,100.0,9,50.0,5,100.0,1,60.0,99,0.0,697.0,0.016666666666666666,0.09,0.18,0.05,0.016666666666666666
7,4,Big Best Helvin,André Eklundh,Jerry Riordan,5,325141,1,25.0,1,60.0,2,30.0,1,30.0,2,10.0,99,89.0,128.0,0.04,0.016666666666666666,0.06666666666666667,0.03333333333333333,0.2
7,5,Maserati Hall,Carl Johan Jepson,Fredrik Wallin,15,421500,2,100.0,2,300.0,3,150.0,2,60.0,1,40.0,99,2.0,107.0,0.02,0.006666666666666667,0.02,0.03333333333333333,0.025
7,6,Shejk,Adrian Kolgjini,Adrian Kolgjini,13,476400,1,60.0,9,110.0,1,40.0,2,30.0,4,40.0,99,78.0,102.0,0.016666666666666666,0.08181818181818182,0.025,0.06666666666666667,0.1
7,7,Call Me Gleipner,Johan Untersteiner,Johan Untersteiner,10,308000,3,300.0,1,40.0,3,40.0,1,40.0,9,150.0,99,6.0,5.0,0.01,0.025,0.075,0.025,0.06
7,8,Fabror Melker,Max Karlsson,Magnus Pettersson,4,482500,2,110.0,2,100.0,1,40.0,3,50.0,6,30.0,99,335.0,573.0,0.01818181818181818,0.02,0.025,0.06,0.2
7,9,Con Padre,Gustav Johansson,Hanna Lähdekorpi,4,398100,1,30.0,3,60.0,1,60.0,3,60.0,4,30.0,99,8.0,131.0,0.03333333333333333,0.05,0.016666666666666666,0.05,0.13333333333333333
7,10,No Talking You,Peter Untersteiner,Johan Untersteiner,13,398360,4,110.0,1,60.0,1,100.0,1,50.0,2,40.0,99,19.0,5.0,0.03636363636363636,0.016666666666666666,0.01,0.02,0.05
7,11,Sabani,Jennifer L Oscarsson,Magnus Dahlén,4,305800,2,30.0,1,110.0,1,35.0,1,30.0,9,30.0,99,999.0,170.0,0.06666666666666667,0.00909090909090909,0.02857142857142857,0.03333333333333333,0.3
7,12,Global Difference,Joakim Lövgren,Joakim Lövgren,5,449000,5,220.0,4,110.0,1,50.0,1,50.0,2,35.0,99,11.0,10.0,0.022727272727272728,0.03636363636363636,0.02,0.02,0.05714285714285714
